minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
2,327,271,1,1,201
5,8,364,0,0,60
1,13,315,0,0,55
2,6,352,0,2,30
1,6,169,2,0,80
1,15,351,1,0,100
2,34,306,0,0,49
1,11,177,1,0,299
1,6,0,0,1,119
1,17,364,0,0,169
2,6,347,2,0,65
1,33,0,0,1,350
1,5,49,2,0,80
2,12,365,1,0,899
1,17,363,0,0,119
3,6,0,2,1,88
3,7,358,0,0,79
2,8,83,0,0,60
3,5,156,1,0,71
3,8,343,1,1,419
2,5,319,2,0,50
1,6,83,2,1,450
2,9,10,1,2,49
1,6,364,0,0,80
1,5,0,2,0,75
1,8,319,2,0,99
2,5,189,2,0,42
1,6,314,1,2,70
1,8,267,2,1,260
1,6,352,2,0,55
3,5,0,0,0,80
3,13,69,0,1,189
1,30,356,1,0,199
1,5,0,0,0,29
1,10,158,0,0,65
2,6,0,2,1,278
3,7,177,4,0,38
1,5,361,2,0,149
1,7,198,1,0,120
14,12,89,1,0,84
1,6,365,0,0,99
3,5,125,0,1,85
14,28,341,1,2,32
2,327,341,1,1,235
1,5,329,0,0,50
4,6,150,2,0,55
2,13,365,4,0,75
1,30,361,1,0,179
1,11,248,1,0,155
1,12,338,1,0,85
2,13,299,1,1,462
1,6,38,1,0,81
2,6,365,2,0,60
1,7,41,0,0,69
1,6,24,1,2,69
1,6,361,2,2,37
1,5,364,2,0,95
2,6,68,0,0,55
2,7,267,0,1,1500
2,6,0,3,0,37
1,5,52,1,2,80
1,7,73,0,2,29
1,8,0,0,0,45
1,7,328,1,0,100
2,10,362,0,0,60
2,5,0,0,0,72
1,20,189,1,0,199
1,6,207,2,0,42
3,5,226,1,0,125
1,8,145,2,0,67
5,6,322,0,0,72
1,5,65,1,1,365
3,9,358,2,0,89
7,47,324,1,0,55
1,10,112,2,0,85
2,5,152,0,1,179
1,6,45,1,0,99
1,10,0,0,0,39
1,5,155,2,0,45
1,5,141,0,0,26
2,6,85,0,0,68
2,327,347,1,1,231
1,8,348,0,0,65
2,327,338,1,1,416
7,8,326,1,0,52
1,7,89,4,2,28
3,7,37,3,2,95
5,6,212,2,0,45
2,11,354,1,1,140
3,13,90,0,0,30
1,5,335,1,1,200
1,5,160,1,0,150
2,327,108,1,1,257
4,7,323,3,0,35
14,12,146,1,0,70
2,5,0,0,0,45
2,5,51,0,1,300
1,7,83,1,2,49
2,5,365,2,1,1000
1,9,278,1,0,249
1,12,342,1,0,85
2,327,253,1,1,475
1,5,152,0,1,350
1,5,138,2,0,109
2,327,349,1,1,227
1,6,204,2,0,75
3,12,0,1,1,339
1,8,363,0,0,139
1,7,348,1,0,100
3,5,307,0,0,67
1,26,179,0,0,55
1,9,309,1,0,100
1,20,359,1,0,149
2,327,275,1,1,505
5,8,365,0,2,31
1,5,287,1,0,100
2,327,328,1,1,203
3,12,0,1,1,269
2,6,365,1,0,220
1,11,176,1,0,330
2,34,0,0,0,60
2,11,365,1,0,69
3,5,18,1,0,95
3,8,237,1,0,90
2,5,339,0,0,65
1,7,45,2,0,50
2,5,358,0,1,350
1,5,351,0,2,35
2,327,315,1,1,503
1,5,0,1,0,149
1,5,294,1,0,410
2,8,28,0,2,30
2,6,364,0,0,40
1,5,80,2,0,45
1,5,89,2,0,45
12,7,130,0,0,63
1,6,180,0,2,79
2,5,126,2,0,37
1,10,306,0,0,63
1,5,247,4,0,150
2,5,0,0,0,50
1,10,302,0,0,84
1,6,365,0,0,89
2,6,351,1,0,500
5,5,148,0,0,70
1,5,289,0,0,75
3,6,41,2,0,60
1,5,90,2,0,65
1,5,359,2,0,89
1,9,323,1,0,100
1,5,282,1,1,230
1,8,87,1,0,249
3,13,365,0,0,65
2,327,319,1,1,236
7,13,358,1,0,169
1,6,316,1,0,135
2,8,84,0,0,60
1,7,82,0,2,25
5,6,244,1,0,45
1,5,46,1,2,80
3,9,92,1,1,185
1,7,126,1,1,650
3,12,360,2,2,30
1,5,0,1,0,119
3,12,327,2,2,30
3,5,226,0,1,785
2,8,320,0,1,185
1,7,0,4,2,28
2,7,150,0,0,77
2,34,288,0,0,65
1,6,117,1,1,295
5,6,272,1,0,47
2,10,317,0,0,40
2,327,338,1,1,205
1,5,363,1,2,75
1,12,0,1,1,1978
1,8,365,0,0,99
6,7,174,2,1,298
1,6,0,0,1,100
7,13,301,0,0,38
2,5,342,0,1,325
1,10,293,0,0,85
1,8,0,1,0,94
3,9,358,2,0,39
3,7,247,0,1,165
1,5,88,2,0,78
4,5,16,1,0,79
1,30,363,1,0,129
7,9,106,0,0,40
1,6,365,0,0,89
4,5,340,0,2,25
1,8,320,2,2,39
2,7,58,0,0,57
2,11,162,1,0,590
5,5,362,4,0,40
1,12,124,1,1,3512
1,6,157,2,0,42
1,7,31,0,0,60
1,6,180,0,0,119
3,49,176,1,1,699
2,7,347,0,0,65
1,9,365,1,0,69
1,9,7,0,1,139
1,7,90,1,2,60
1,6,105,0,0,81
5,5,267,1,0,60
1,7,313,2,0,80
1,8,321,1,0,100
1,5,243,0,0,48
1,9,342,2,0,89
3,8,365,0,0,75
2,5,268,0,0,48
5,6,338,2,1,199
1,8,0,1,1,310
1,7,319,1,0,100
2,7,66,0,0,77
1,7,350,1,0,120
1,10,288,1,0,209
1,5,365,1,1,189
15,5,179,0,1,79
1,30,362,1,0,199
1,33,365,0,0,119
1,7,0,2,1,149
4,8,316,3,0,34
2,327,343,1,1,228
1,10,365,1,0,50
4,8,340,3,0,32
1,6,256,2,0,35
1,11,356,0,0,239
1,33,364,0,1,306
1,5,21,1,2,95
3,49,188,1,1,737
3,28,60,0,1,199
1,33,179,1,1,179
2,327,262,1,1,388
1,7,293,1,0,100
2,9,361,1,1,450
1,5,137,0,0,85
1,6,255,2,1,150
1,5,361,2,0,95
1,5,271,1,1,122
1,8,140,2,0,43
2,327,62,1,1,263
1,5,97,1,1,369
7,12,120,2,0,40
7,47,354,1,0,150
2,7,58,2,1,159
1,5,23,1,2,95
3,49,249,1,1,737
1,6,285,0,0,118
1,10,365,1,0,50
3,12,365,1,0,699
2,13,327,1,1,252
1,9,299,1,0,100
7,47,355,1,0,62
3,5,365,0,0,70
3,6,179,1,0,99
3,5,62,2,1,165
1,6,24,1,2,70
3,8,330,0,0,75
1,5,154,2,0,40
1,7,326,0,0,55
1,9,315,1,0,100
4,7,342,3,0,32
1,5,174,0,1,330
3,49,196,1,1,699
7,13,296,0,0,38
1,14,336,1,0,450
